Price,Close,High,Low,Open,Volume
Ticker,WMT,WMT,WMT,WMT,WMT
Date,,,,,
2000-01-03,14.210654258728027,14.675924412893433,13.931492653047988,14.542991126315902,25109700
2000-01-04,13.678923606872559,13.997965556887078,13.652335966339045,13.93149767260175,20235300
2000-01-05,13.399755477905273,13.692209647208593,13.226941982511821,13.585864004241428,21056100
2000-01-06,13.545989036560059,13.732095201024933,13.333292799890648,13.399760678111925,19633500
2000-01-07,14.569576263427734,14.66263175433684,13.718798851447493,13.718798851447493,23930700
2000-01-10,14.303712844848633,14.356885684165208,13.958083304049508,14.303712844848633,20142900
2000-01-11,14.091015815734863,14.410057701631473,13.958082507976748,14.263831793326473,14829900
2000-01-12,13.838440895080566,14.197362993223866,13.838440895080565,14.077722293842765,12255000
2000-01-13,13.851737022399902,14.064433275975924,13.825151816275561,14.037845635754703,15063000
2000-01-14,13.718802452087402,14.024551767714595,13.612454334891714,13.612454334891714,18936600
2000-01-18,13.944790840148926,14.130896996639002,13.413052705357492,13.439640342326038,19326600
2000-01-19,13.625750541687012,13.997965332710656,13.612455504584721,13.878324603371249,14459700
2000-01-20,13.479517936706543,13.718799320198375,13.293409382625306,13.705506721369753,17214300
2000-01-21,13.28011417388916,13.599155955844456,13.200353728400337,13.599155955844456,20857500
2000-01-24,12.628737449645996,13.492807281113812,12.229935240016076,13.492807281113812,23399700
2000-01-25,13.000960350036621,13.014252954161766,12.65533073590922,12.721798624729086,19211400
2000-01-26,13.17376708984375,13.20035471836585,12.761672235278162,13.000953589689628,13615200
2000-01-27,12.57556438446045,13.080714749146459,12.309697821232815,13.04083452125272,21969900
2000-01-28,11.72479248046875,12.522397411112884,11.379162865823934,12.522397411112884,42088200
2000-01-31,11.645028114318848,11.804549047391708,11.512094814790219,11.605147881050632,23918100
2000-02-01,12.482513427734375,12.65532696627366,11.684908735866363,11.698201336032048,25077000
2000-02-02,12.416048049926758,12.788265270212788,12.322994961903671,12.522396174879457,18103800
2000-02-03,12.416048049926758,12.509103572046685,11.964072778547253,12.41604804992676,20997000
2000-02-04,11.977365493774414,12.322995077541412,11.910900044890006,12.322995077541412,19649100
2000-02-07,11.857723236083984,12.043831823978977,11.618441809117515,12.043831823978977,18131100
2000-02-08,12.655330657958984,12.695210904185847,12.097007210782897,12.19006274137695,25728300
2000-02-09,12.296404838562012,12.78826268729001,12.19005916918543,12.76167505289769,24649800
2000-02-10,12.123589515686035,12.416043714567518,12.083709287016017,12.25652279988744,13774800
2000-02-11,11.924189567565918,12.229938829381735,11.83113650270729,12.216643795761767,14450100
2000-02-14,12.52238941192627,12.52238941192627,12.017239133837954,12.057119354895043,17410800
2000-02-15,12.336282730102539,12.33628273010254,11.698199098647308,12.110296400026067,29136300
2000-02-16,11.219642639160156,12.017247623794699,11.206350034115328,12.017247623794699,40757400
2000-02-17,10.289101600646973,11.379160648781504,10.209341123122577,11.259519932494912,74300100
2000-02-18,10.156164169311523,10.528379399796343,10.0498166998056,10.315685677832379,58183200
2000-02-22,10.235929489135742,10.488503541247594,9.943473369849604,10.475210938745953,37027800
2000-02-23,9.996641159057617,10.315683500226632,9.943467131267541,10.302388471969582,38623200
2000-02-24,10.182755470275879,10.182755470275879,9.238923431061407,9.996648069922616,58295700
2000-02-25,9.464909553527832,9.637724322739802,9.278802183102206,9.42502931579032,50725500
2000-02-28,9.823832511901855,9.983353476146672,9.478204161720878,9.478204161720878,53508300
2000-02-29,10.36886215209961,10.581555948982267,10.196047985739334,10.196047985739334,51591600
2000-03-01,10.422032356262207,10.634728533434256,10.10299113312414,10.608140902763749,30497400
2000-03-02,10.754369735717773,11.246225105070618,10.727782103773036,11.21963747312588,46628100
2000-03-03,11.1930513381958,11.33927721640953,10.95376997301415,11.086703253416427,32372400
2000-03-06,10.741071701049805,11.206341742531935,10.342269503806675,11.193049147322311,31480800
2000-03-07,10.11628246307373,10.554965482356677,10.023228212684687,10.554965482356677,29174100
2000-03-08,10.275808334350586,10.48850211595763,9.704190601530073,10.063112727171209,30056100
2000-03-09,10.408738136291504,10.515086208308478,9.970055686102974,10.422030732507766,23834700
2000-03-10,10.196046829223633,10.581554748739228,10.089699334320917,10.581554748739228,21016500
2000-03-13,10.14287281036377,10.196046862249405,9.757364281075397,9.837124750379761,23183700
2000-03-14,10.156164169311523,10.38215109676725,9.850415574809457,9.99664326931461,29955000
2000-03-15,10.967550277709961,11.060720395247792,9.91604876737233,10.102390830316574,44010000
2000-03-16,11.633052825927734,11.832704776242043,10.994166584921954,11.140578827538311,59148000
2000-03-17,11.872636795043945,11.979118662205078,11.526574991796641,11.619745102338927,37911900
2000-03-20,11.739541053771973,11.885953375899199,11.366858023181392,11.885953375899199,20307300
2000-03-21,12.058979988098145,12.058979988098145,11.606436297619547,11.806088284177463,23563800
2000-03-22,11.792781829833984,12.032364321436654,11.499959596928209,12.032364321436654,29890500
2000-03-23,11.49995231628418,11.619743486245472,11.39347046393272,11.579813096258375,21076500
2000-03-24,11.81939697265625,11.859327367834142,11.499953811233109,11.593123920928887,23858700
2000-03-27,11.806092262268066,11.819401586803856,11.553198035976042,11.64637061920315,17324700
2000-03-28,11.606440544128418,11.912572077417803,11.60644054412842,11.619749869049153,17392800
2000-03-29,12.511528968811035,12.644631974234786,11.806093276133257,11.819402601812005,40790100
2000-03-30,12.564776420593262,12.937459630483877,12.538155320901042,12.724498144426397,34712400
2000-03-31,12.032362937927246,12.631319098064536,11.819401560042495,12.61800977355888,27162000
2000-04-03,13.030621528625488,13.203654910735082,12.058982472887203,12.058982472887203,35807100
2000-04-04,12.777726173400879,13.483163951610004,12.245321728561793,13.137099722027779,41027400
2000-04-05,12.405044555664062,12.80434853881679,12.258632282788696,12.631315188011873,21198000
2000-04-06,13.017311096191406,13.043932176667887,12.511525190088246,12.591385994359358,21762600
2000-04-07,13.097171783447266,13.20365366724351,12.910829096093416,13.043932060128299,12039300
2000-04-10,13.536399841308594,13.563020909036123,12.990683794415839,13.097165628168787,16563000
2000-04-11,13.496479034423828,13.52310012103976,13.097174920979336,13.389997125118999,16066200
2000-04-12,13.296826362609863,13.82923101018796,13.21696554361521,13.509787734209345,21729900
2000-04-13,12.791033744812012,13.27019841084648,12.671242578303396,13.27019841084648,23653500
2000-04-14,11.712919235229492,12.551457829547436,11.712919235229492,12.351805783281259,28118100
2000-04-17,11.49995231628418,12.005738068506616,11.020787636439005,11.739534656206766,28981500
2000-04-18,11.473335266113281,11.99243051792474,11.313613650171293,11.499956347823094,22983600
2000-04-19,11.699604988098145,11.819396165450685,11.446713314962029,11.526574099863723,18765900
2000-04-20,12.285253524780273,12.338493244192254,11.739537261464475,11.739537261464475,18271200
2000-04-24,12.5381441116333,12.910826988340464,12.245322025446095,12.338492135333407,16901100
2000-04-25,12.711175918579102,12.937448986909013,12.258632219077368,12.365114093084047,18114900
2000-04-26,12.511528968811035,12.937454199280708,12.418358814741667,12.817662956694775,15606000
2000-04-27,12.285253524780273,12.444975120174348,12.032359373967568,12.27194176705868,16545000
2000-04-28,11.792781829833984,12.20539774570023,11.792781829833984,12.098915825934887,15037800
2000-05-01,12.338496208190918,12.524838926633977,11.965813208463516,12.005743616904264,15327000
2000-05-02,12.271942138671875,12.311872538729547,12.072290138383513,12.205393096681226,14464500
2000-05-03,11.380166053771973,11.606439173660085,11.233753748296294,11.553197005946034,31371900
2000-05-04,10.861068725585938,11.486645800352562,10.74127752640668,11.486645800352562,32300700
2000-05-05,10.92762565612793,11.260378340810325,10.688043138238347,10.688043138238347,25920000
2000-05-08,11.153892517089844,11.153892517089844,10.54162710852627,10.914310082805155,22878300
2000-05-09,11.286992073059082,11.686296009167801,11.180510211044153,11.579814147152872,26664600
2000-05-10,12.072288513183594,12.165461058880528,11.286992375873261,11.380162484412313,33735900
2000-05-11,11.925881385803223,12.152152048696216,11.712917607934203,12.12553340433141,18315900
2000-05-12,12.098913192749023,12.178774005902483,11.779469940135188,11.872640076428022,13113000
2000-05-15,12.138845443725586,12.205396943851635,11.819402142574912,11.979123793150249,12816900
2000-05-16,12.351804733276367,12.578077845529217,12.178773786940988,12.232013515699897,19136100
2000-05-17,12.005742073059082,12.085602879671097,11.806090056529044,12.072291120463492,13776900
2000-05-18,12.338496208190918,12.338496208190918,11.965813208463516,11.979122532224192,14663700
2000-05-19,12.15214729309082,12.511520785804807,11.95249535269416,11.95249535269416,19073100
2000-05-22,12.21870231628418,12.28525379488094,11.96581059706959,12.28525379488094,13884300
2000-05-23,12.178775787353516,12.431667586945029,12.09891496251841,12.25863661218862,12873000
2000-05-24,12.112221717834473,12.138842799517809,11.233752831027264,11.766159841743322,31024500
2000-05-25,11.712919235229492,12.07229291850861,11.513267188963313,11.88595263343269,13857600
2000-05-26,11.49995231628418,11.712913583829504,11.313609683958525,11.553192023881113,11989200
2000-05-30,11.366852760314941,11.526574333353757,11.220440505976764,11.300301292496172,13058100
2000-05-31,12.271942138671875,12.777728018455125,11.60643709581614,11.686297895931485,22976700
2000-06-01,12.138845443725586,12.285257769139303,11.979123793150249,12.1654665312078,14359200
2000-06-02,12.57807445526123,12.791035750054288,12.365113160468171,12.538144060165163,21264300
2000-06-05,12.631315231323242,12.72448778581709,12.511524035966675,12.631315231323242,13081200
2000-06-06,12.405044555664062,12.524835750609881,12.298562681103968,12.524835750609881,13320300
2000-06-07,12.325181007385254,12.578072661203494,12.298559935398972,12.298559935398972,10273800
2000-06-08,12.112221717834473,12.351804141509167,11.992430505997126,12.311873737563385,11979300
2000-06-09,11.49995231628418,12.35179982362307,11.486642998674345,12.232008653661776,21849300
2000-06-12,11.233755111694336,11.579819495201615,11.034103051432238,11.499958671096778,24267600
2000-06-13,11.712919235229492,11.712919235229492,10.994171868671252,11.08734444836798,23135100
2000-06-14,11.752361297607422,11.87228335166464,11.539167348112512,11.712387279588349,20060400
2000-06-15,11.832307815551758,11.978880009423182,11.685735621680333,11.739035932080917,17046900
2000-06-16,11.485868453979492,11.965556729642033,11.352622524013476,11.672414707788503,28709100
2000-06-19,11.592461585998535,11.725707457621848,11.259345687030422,11.445889419339125,18005100
2000-06-20,11.619112014770508,11.659086021197677,11.325967674424778,11.565811712987795,18191400
2000-06-21,11.499188423156738,11.632434279754795,11.379266420272668,11.632434279754795,12861900
2000-06-22,11.192728996276855,11.392599156924655,11.05948303578542,11.312651092665535,17003400
2000-06-23,11.459220886230469,11.605790679221109,11.272674629908742,11.445894585179849,18808800
2000-06-26,11.459220886230469,11.659091003782041,11.459220886230469,11.552492794480946,11774100
2000-06-27,12.112122535705566,12.245368394992436,11.45921465343463,11.53916265697064,19663200
2000-06-28,11.935575485229492,12.192076263611794,11.872284099320337,12.04550404170468,14472300
2000-06-29,11.539168357849121,11.805660208082058,11.419246293298105,11.792336347516606,15872700
2000-06-30,12.285341262817383,12.308661054909255,11.52583529932806,11.539161591900335,22866600
2000-07-03,12.125450134277344,12.232048318518222,11.965554077826127,12.205398162502954,7731900
2000-07-05,12.15210247039795,12.351972576818968,12.058830567341685,12.2187266524785,15419400
2000-07-06,12.258695602416992,12.458565626153032,12.112123438404021,12.351967466887269,17273400
2000-07-07,13.124801635742188,13.231399829312233,12.218725529768252,12.351971441865498,31540200
2000-07-10,13.058178901672363,13.417945032679272,12.938256858003392,13.084826618163095,24701100
2000-07-11,13.218069076538086,13.377965063593713,12.964898803820587,13.018199092718556,17692800
2000-07-12,13.004878044128418,13.258048418923767,12.924930018365703,13.231398263729488,17500800
2000-07-13,12.605134963989258,13.04484900273097,12.605134963989258,12.898279283030101,12907800
2000-07-14,12.685081481933594,12.991549619565665,12.658433775926813,12.751705626589068,12552300
2000-07-17,12.944920539855957,13.058181900321419,12.711739548003697,12.858311781642115,13832100
2000-07-18,12.805009841918945,13.03153009446223,12.738388103974813,12.991556075767562,10776300
2000-07-19,12.791681289672852,12.898279447026653,12.658435422845287,12.83165529370308,11209200
2000-07-20,12.791681289672852,12.964901160530644,12.698409426875514,12.77835743493597,14960400
2000-07-21,12.725058555603027,12.898280885600268,12.631786682402874,12.858306877111652,11733000
2000-07-24,12.245373725891113,12.618466198027464,12.192075846937566,12.578492178857177,15137400
2000-07-25,12.618467330932617,12.64511505289161,12.218727103340461,12.258701126099677,12366000
2000-07-26,12.525189399719238,12.818333775931707,12.405267365765054,12.405267365765054,21966300
2000-07-27,12.805009841918945,12.858310160058823,12.578492029196136,12.658440066585475,14234400
2000-07-28,12.511866569519043,12.778360813453135,12.20539831098585,12.751710657113657,15742800
